timestamp,week_start,week_end,recipient,subject,status,transport
2025-11-25T10:49:13.287574+00:00,2025-09-15,2025-09-21,YOUR_EMAIL@example.com,Weekly Product Pulse – Groww App (2025-09-15–2025-09-21),sent,gmail
2025-11-25T11:06:30.520710+00:00,2025-09-15,2025-09-21,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-09-15–2025-09-21),dry_run,gmail
2025-11-25T11:06:39.321673+00:00,2025-10-13,2025-10-19,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-10-13–2025-10-19),dry_run,gmail
2025-11-25T11:06:50.458439+00:00,2025-11-10,2025-11-16,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-10–2025-11-16),dry_run,gmail
2025-11-25T17:01:24.280634+00:00,2025-09-15,2025-09-21,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-09-15–2025-09-21),dry_run,gmail
2025-11-25T17:14:01.874423+00:00,2025-09-15,2025-09-21,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-09-15–2025-09-21),dry_run,gmail
2025-11-25T17:29:30.616799+00:00,2025-09-15,2025-09-21,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-09-15–2025-09-21),dry_run,gmail
2025-11-25T17:29:41.616659+00:00,2025-10-13,2025-10-19,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-10-13–2025-10-19),dry_run,gmail
2025-11-25T17:29:54.392114+00:00,2025-11-03,2025-11-09,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-03–2025-11-09),dry_run,gmail
2025-11-25T17:30:06.491772+00:00,2025-11-10,2025-11-16,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-10–2025-11-16),dry_run,gmail
2025-11-25T17:40:11.287089+00:00,2025-09-15,2025-09-21,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-09-15–2025-09-21),dry_run,gmail
2025-11-25T17:40:16.967180+00:00,2025-10-13,2025-10-19,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-10-13–2025-10-19),dry_run,gmail
2025-11-25T17:40:22.538558+00:00,2025-11-03,2025-11-09,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-03–2025-11-09),dry_run,gmail
2025-11-25T17:40:28.097171+00:00,2025-11-10,2025-11-16,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-10–2025-11-16),dry_run,gmail
2025-11-25T17:40:36.960336+00:00,2025-11-17,2025-11-23,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-17–2025-11-23),dry_run,gmail
2025-11-25T17:49:21.855267+00:00,2025-09-15,2025-09-21,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-09-15–2025-09-21),dry_run,gmail
2025-11-25T17:49:39.105813+00:00,2025-10-13,2025-10-19,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-10-13–2025-10-19),dry_run,gmail
2025-11-25T17:49:49.330708+00:00,2025-11-03,2025-11-09,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-03–2025-11-09),dry_run,gmail
2025-11-25T17:50:01.053233+00:00,2025-11-10,2025-11-16,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-10–2025-11-16),dry_run,gmail
2025-11-25T17:50:11.655994+00:00,2025-11-17,2025-11-23,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-17–2025-11-23),dry_run,gmail
2025-11-25T17:58:17.567029+00:00,2025-09-15,2025-09-21,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-09-15–2025-09-21),sent,gmail
2025-11-25T17:58:30.950095+00:00,2025-10-13,2025-10-19,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-10-13–2025-10-19),sent,gmail
2025-11-25T17:58:43.351225+00:00,2025-11-03,2025-11-09,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-03–2025-11-09),sent,gmail
